ts,epic,buyers_pct,sellers_pct
2026-03-05 18:56:14.936839+03,ETHUSD,85.46,14.54
2026-03-05 18:58:49.198958+03,ETHUSD,85.53,14.47
2026-03-05 19:03:24.862006+03,ETHUSD,85.53,14.47
2026-03-05 19:03:56.193932+03,ETHUSD,85.53,14.47
2026-03-05 19:04:57.177956+03,ETHUSD,85.53,14.47
2026-03-05 19:07:32.289346+03,ETHUSD,85.75,14.25
2026-03-05 19:09:04.086601+03,ETHUSD,85.75,14.25
2026-03-05 19:09:35.252378+03,ETHUSD,85.75,14.25
2026-03-05 19:10:35.720297+03,ETHUSD,85.75,14.25
2026-03-05 19:14:13.504686+03,ETHUSD,85.75,14.25
2026-03-05 19:14:43.997267+03,ETHUSD,85.64,14.36
2026-03-05 19:30:51.79913+03,ETHUSD,85.83,14.17
2026-03-05 19:36:36.366386+03,ETHUSD,85.97,14.03
2026-03-05 19:37:06.616092+03,ETHUSD,85.97,14.03
2026-03-05 20:12:45.547309+03,ETHUSD,86.35,13.65
2026-03-05 20:25:13.689242+03,ETHUSD,86.14,13.86
2026-03-05 20:26:15.203682+03,ETHUSD,86.14,13.86
2026-03-05 20:26:45.525868+03,ETHUSD,86.14,13.86
2026-03-05 20:27:16.748548+03,ETHUSD,86.14,13.86
2026-03-05 20:32:22.16472+03,ETHUSD,86.08,13.92
2026-03-03 22:55:30.183331+03,ETHUSD,88.59,11.41
2026-03-03 22:57:03.67855+03,ETHUSD,88.59,11.41
2026-03-03 22:58:05.658471+03,ETHUSD,88.59,11.41
2026-03-03 22:58:36.471082+03,ETHUSD,88.59,11.41
2026-03-03 22:59:37.053173+03,ETHUSD,88.58,11.42
2026-03-03 23:00:08.122319+03,ETHUSD,88.58,11.42
2026-03-03 23:01:10.401502+03,ETHUSD,88.58,11.42
2026-03-03 23:02:11.715678+03,ETHUSD,88.58,11.42
2026-03-04 18:26:48.983009+03,ETHUSD,86.03,13.97
2026-03-04 19:00:51.086635+03,ETHUSD,85.88,14.12
2026-03-04 19:01:53.302467+03,ETHUSD,85.88,14.12
