id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
3907,1m,2026-03-02 17:17:58.020203+03,2026-01-31 02:11:00+03,2026-03-02 17:15:00+03,42940,1933.695,0.07516460280028185,0
3909,15m,2026-03-02 17:17:58.787843+03,2026-01-31 02:00:00+03,2026-03-02 17:00:00+03,2895,1931.485,-0.4400326322758604,6.872261347593369e-17
3912,5m,2026-03-02 17:19:02.699294+03,2026-01-31 02:10:00+03,2026-03-02 17:10:00+03,8609,1931.485,-0.4003144338529621,3.136325236250878e-17
3914,30m,2026-03-02 17:19:03.657312+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3916,5m,2026-03-02 17:20:01.836478+03,2026-01-31 02:10:00+03,2026-03-02 17:10:00+03,8609,1931.485,-0.4003144338529621,3.136325236250878e-17
3918,30m,2026-03-02 17:20:02.471742+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3919,1m,2026-03-02 17:21:00.795393+03,2026-01-31 02:11:00+03,2026-03-02 17:18:00+03,42943,1930.955,0.12751534261267167,0
3921,15m,2026-03-02 17:21:01.917345+03,2026-01-31 02:00:00+03,2026-03-02 17:00:00+03,2895,1931.485,-0.4400326322758604,6.872261347593369e-17
3924,5m,2026-03-02 17:22:02.118686+03,2026-01-31 02:10:00+03,2026-03-02 17:15:00+03,8610,1927.835,-0.1546696349127356,3.135960970834356e-17
3926,30m,2026-03-02 17:22:02.550088+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,1450,1927.365,-0.11580056966008087,7.840471567008001e-17
3928,5m,2026-03-02 17:23:03.038529+03,2026-01-31 02:10:00+03,2026-03-02 17:15:00+03,8610,1927.835,-0.1546696349127356,3.135960970834356e-17
3769,15m,2026-03-02 16:42:14.528534+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3772,5m,2026-03-02 16:43:15.211611+03,2026-01-31 02:10:00+03,2026-03-02 16:35:00+03,8602,1932.515,-0.8705856648795587,2.6432652341691707e-17
3774,30m,2026-03-02 16:43:15.501554+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3776,5m,2026-03-02 16:44:17.763521+03,2026-01-31 02:10:00+03,2026-03-02 16:35:00+03,8602,1932.515,-0.8705856648795587,2.6432652341691707e-17
3778,30m,2026-03-02 16:44:17.998765+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3779,1m,2026-03-02 16:45:19.141629+03,2026-01-31 02:11:00+03,2026-03-02 16:43:00+03,42908,1931.435,-0.08976244386966596,0
3781,15m,2026-03-02 16:45:19.865454+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3783,1m,2026-03-02 16:46:19.441905+03,2026-01-31 02:11:00+03,2026-03-02 16:44:00+03,42909,1929.855,-0.08976244386966596,0
3785,15m,2026-03-02 16:46:19.853633+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3787,1m,2026-03-02 16:47:20.171496+03,2026-01-31 02:11:00+03,2026-03-02 16:45:00+03,42910,1930.665,-0.3686048903874463,0
3789,15m,2026-03-02 16:47:20.778831+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3791,1m,2026-03-02 16:48:20.881288+03,2026-01-31 02:11:00+03,2026-03-02 16:46:00+03,42911,1931.365,0,0
3793,15m,2026-03-02 16:48:21.555874+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
3796,5m,2026-03-02 16:49:25.249159+03,2026-01-31 02:10:00+03,2026-03-02 16:40:00+03,8603,1929.855,0.8229995155759579,2.642957984926561e-17
3798,30m,2026-03-02 16:49:25.482804+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3800,5m,2026-03-02 16:50:25.34168+03,2026-01-31 02:10:00+03,2026-03-02 16:40:00+03,8603,1929.855,0.8229995155759579,2.642957984926561e-17
3802,30m,2026-03-02 16:50:25.73487+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3804,5m,2026-03-02 16:51:25.936872+03,2026-01-31 02:10:00+03,2026-03-02 16:45:00+03,8604,1928.595,-0.12083271361643592,2.6426508071040452e-17
3806,30m,2026-03-02 16:51:26.17714+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3807,1m,2026-03-02 16:52:25.50163+03,2026-01-31 02:11:00+03,2026-03-02 16:50:00+03,42915,1926.105,0,0
3809,15m,2026-03-02 16:52:26.264499+03,2026-01-31 02:00:00+03,2026-03-02 16:30:00+03,2893,1929.855,0.10592551667086382,6.385797141293677e-17
